time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,255,54,8,8
2026-07-31 00:00:00+00:00,1186,158,8,8
2026-08-01 00:00:00+00:00,886,118,11,10
2026-08-02 00:00:00+00:00,1102,114,9,8
2026-08-03 00:00:00+00:00,286,44,5,4
2026-08-04 00:00:00+00:00,569,73,3,2
2026-08-05 00:00:00+00:00,740,82,26,6
2026-08-06 00:00:00+00:00,350,56,14,11
2026-08-07 00:00:00+00:00,340,50,7,6
2026-08-08 00:00:00+00:00,737,91,23,20
2026-08-09 00:00:00+00:00,40,12,8,5
2026-08-10 00:00:00+00:00,157,18,16,9
2026-08-11 00:00:00+00:00,38,14,4,4
2026-08-12 00:00:00+00:00,114,21,5,1
