time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,340,50,7,6
2026-08-08 00:00:00+00:00,737,91,23,20
2026-08-09 00:00:00+00:00,40,12,8,5
2026-08-10 00:00:00+00:00,157,18,16,9
2026-08-11 00:00:00+00:00,38,14,4,4
2026-08-12 00:00:00+00:00,114,21,5,1
2026-08-13 00:00:00+00:00,887,100,19,5
2026-08-14 00:00:00+00:00,254,54,28,10
2026-08-15 00:00:00+00:00,433,56,6,2
2026-08-16 00:00:00+00:00,524,66,11,6
2026-08-17 00:00:00+00:00,860,100,26,11
2026-08-18 00:00:00+00:00,365,46,6,6
2026-08-19 00:00:00+00:00,360,57,11,8
2026-08-20 00:00:00+00:00,69,36,14,8
