referrer,views_total,views_unique
Google,15,13
memo-web-sigma.vercel.app,11,4
github.com,9,5
pypi.org,6,1
vitaly-z.static.observableusercontent.com,3,1
teams.public.onecdn.static.microsoft,2,1
chatgpt.com,1,1
