time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,46,21,11,7
2026-09-09 00:00:00+00:00,88,24,2,2
2026-09-10 00:00:00+00:00,43,27,39,12
2026-09-11 00:00:00+00:00,35,15,8,8
2026-09-12 00:00:00+00:00,30,19,12,10
2026-09-13 00:00:00+00:00,42,18,9,5
2026-09-14 00:00:00+00:00,30,20,21,7
2026-09-15 00:00:00+00:00,38,23,7,6
2026-09-16 00:00:00+00:00,69,21,23,9
2026-09-17 00:00:00+00:00,38,22,7,2
2026-09-18 00:00:00+00:00,31,17,18,10
2026-09-19 00:00:00+00:00,43,13,11,7
2026-09-20 00:00:00+00:00,36,19,19,10
2026-09-21 00:00:00+00:00,16,8,11,10
