referrer,views_total,views_unique
memo-web-sigma.vercel.app,11,4
Google,10,9
pypi.org,7,1
github.com,6,4
vitaly-z.static.observableusercontent.com,3,1
teams.public.onecdn.static.microsoft,2,1
neoneye.github.io,1,1
