referrer,views_total,views_unique
github.com,11,5
memo-web-sigma.vercel.app,11,4
Google,9,8
pypi.org,7,1
vitaly-z.static.observableusercontent.com,3,1
teams.public.onecdn.static.microsoft,2,1
neoneye.github.io,1,1
