time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-26 00:00:00+00:00,529,107,5,2
2026-06-27 00:00:00+00:00,329,81,1,1
2026-06-28 00:00:00+00:00,250,60,4,4
2026-06-29 00:00:00+00:00,423,91,0,0
2026-06-30 00:00:00+00:00,900,161,2,1
2026-07-01 00:00:00+00:00,655,111,11,8
2026-07-02 00:00:00+00:00,257,59,28,21
2026-07-03 00:00:00+00:00,261,50,26,16
2026-07-04 00:00:00+00:00,332,73,52,22
2026-07-05 00:00:00+00:00,538,133,14,10
2026-07-06 00:00:00+00:00,720,151,75,33
2026-07-07 00:00:00+00:00,717,75,18,15
2026-07-08 00:00:00+00:00,201,40,10,5
2026-07-09 00:00:00+00:00,185,23,13,9
