time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,1299,142,1,1
2026-07-23 00:00:00+00:00,395,82,17,6
2026-07-24 00:00:00+00:00,342,69,14,7
2026-07-25 00:00:00+00:00,406,69,16,8
2026-07-26 00:00:00+00:00,604,91,11,10
2026-07-27 00:00:00+00:00,4264,101,8,7
2026-07-28 00:00:00+00:00,443,86,26,15
2026-07-29 00:00:00+00:00,462,72,10,9
2026-07-30 00:00:00+00:00,255,54,8,8
2026-07-31 00:00:00+00:00,1186,158,8,8
2026-08-01 00:00:00+00:00,886,118,11,10
2026-08-02 00:00:00+00:00,1102,114,9,8
2026-08-03 00:00:00+00:00,286,44,5,4
2026-08-04 00:00:00+00:00,569,73,3,2
