time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-13 00:00:00+00:00,887,100,19,5
2026-08-14 00:00:00+00:00,254,54,28,10
2026-08-15 00:00:00+00:00,433,56,6,2
2026-08-16 00:00:00+00:00,524,66,11,6
2026-08-17 00:00:00+00:00,860,100,26,11
2026-08-18 00:00:00+00:00,365,46,6,6
2026-08-19 00:00:00+00:00,360,57,11,8
2026-08-20 00:00:00+00:00,69,36,14,8
2026-08-21 00:00:00+00:00,52,8,5,4
2026-08-22 00:00:00+00:00,8,6,0,0
2026-08-23 00:00:00+00:00,18,14,38,9
2026-08-24 00:00:00+00:00,32,9,5,4
2026-08-25 00:00:00+00:00,585,61,16,9
2026-08-26 00:00:00+00:00,630,64,35,9
