referrer,views_total,views_unique
Google,12,11
github.com,11,6
memo-web-sigma.vercel.app,11,4
vitaly-z.static.observableusercontent.com,3,1
pypi.org,2,1
teams.public.onecdn.static.microsoft,2,1
chatgpt.com,1,1
