time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,166,72,1,1
2026-06-22 00:00:00+00:00,120,46,1,1
2026-06-23 00:00:00+00:00,413,23,7,5
2026-06-24 00:00:00+00:00,250,63,5,3
2026-06-25 00:00:00+00:00,271,62,1,1
2026-06-26 00:00:00+00:00,529,107,5,2
2026-06-27 00:00:00+00:00,329,81,1,1
2026-06-28 00:00:00+00:00,250,60,4,4
2026-06-29 00:00:00+00:00,423,91,0,0
2026-06-30 00:00:00+00:00,900,161,2,1
2026-07-01 00:00:00+00:00,655,111,11,8
2026-07-02 00:00:00+00:00,257,59,28,21
2026-07-03 00:00:00+00:00,261,50,26,16
2026-07-04 00:00:00+00:00,332,73,52,22
