referrer,views_total,views_unique
Google,12,11
memo-web-sigma.vercel.app,11,4
github.com,10,5
vitaly-z.static.observableusercontent.com,3,1
chatgpt.com,2,2
teams.public.onecdn.static.microsoft,2,1
